time	3-T
2021-02-21T13:15:52.613Z	634
2021-02-21T13:15:54.614Z	635
2021-02-21T13:15:56.614Z	637
2021-02-21T13:15:58.614Z	638
2021-02-21T13:16:00.614Z	640
2021-02-21T13:16:02.614Z	642
2021-02-21T13:16:04.613Z	644
2021-02-21T13:16:06.614Z	646
2021-02-21T13:16:08.615Z	647
2021-02-21T13:16:10.616Z	649
2021-02-21T13:16:12.616Z	651
2021-02-21T13:16:14.617Z	653
2021-02-21T13:16:16.618Z	654
2021-02-21T13:16:18.619Z	656
2021-02-21T13:16:20.620Z	658
2021-02-21T13:16:22.621Z	660
2021-02-21T13:16:24.622Z	662
2021-02-21T13:16:26.623Z	663
2021-02-21T13:16:28.623Z	665
2021-02-21T13:16:30.624Z	667
2021-02-21T13:16:32.625Z	669
2021-02-21T13:16:34.626Z	670
2021-02-21T13:16:36.627Z	672
2021-02-21T13:16:38.628Z	673
2021-02-21T13:16:40.629Z	676
2021-02-21T13:16:42.629Z	677
2021-02-21T13:16:44.629Z	679
2021-02-21T13:16:46.630Z	680
2021-02-21T13:16:48.631Z	683
2021-02-21T13:16:50.631Z	684
2021-02-21T13:16:52.632Z	686
2021-02-21T13:16:54.632Z	687
2021-02-21T13:16:56.633Z	689
2021-02-21T13:16:58.633Z	691
2021-02-21T13:17:00.634Z	693
2021-02-21T13:17:02.633Z	694
2021-02-21T13:17:04.633Z	696
2021-02-21T13:17:06.634Z	698
2021-02-21T13:17:08.633Z	700
2021-02-21T13:17:10.634Z	701
2021-02-21T13:17:12.635Z	703
2021-02-21T13:17:14.636Z	704
2021-02-21T13:17:16.636Z	707
2021-02-21T13:17:18.637Z	708
2021-02-21T13:17:20.636Z	710
2021-02-21T13:17:22.637Z	711
2021-02-21T13:17:24.636Z	713
2021-02-21T13:17:26.637Z	715
2021-02-21T13:17:28.638Z	716
2021-02-21T13:17:30.639Z	718
2021-02-21T13:17:32.639Z	719
2021-02-21T13:17:34.638Z	722
2021-02-21T13:17:36.638Z	723
2021-02-21T13:17:38.639Z	725
2021-02-21T13:17:40.639Z	726
2021-02-21T13:17:42.639Z	728
2021-02-21T13:17:44.639Z	730
2021-02-21T13:17:46.639Z	731
2021-02-21T13:17:48.640Z	733
2021-02-21T13:17:50.640Z	734
2021-02-21T13:17:52.640Z	737
2021-02-21T13:17:54.641Z	738
2021-02-21T13:17:56.642Z	740
2021-02-21T13:17:58.642Z	741
2021-02-21T13:18:00.642Z	742
2021-02-21T13:18:02.643Z	745
2021-02-21T13:18:04.643Z	746
2021-02-21T13:18:06.644Z	748
2021-02-21T13:18:08.645Z	749
2021-02-21T13:18:10.646Z	750
2021-02-21T13:18:12.647Z	753
2021-02-21T13:18:14.647Z	754
2021-02-21T13:18:16.648Z	755
2021-02-21T13:18:18.647Z	757
2021-02-21T13:18:20.647Z	759
2021-02-21T13:18:22.648Z	760
2021-02-21T13:18:24.648Z	762
2021-02-21T13:18:26.649Z	763
2021-02-21T13:18:28.650Z	765
2021-02-21T13:18:30.649Z	767
2021-02-21T13:18:32.651Z	768
2021-02-21T13:18:34.652Z	770
2021-02-21T13:18:36.653Z	771
2021-02-21T13:18:38.654Z	773
2021-02-21T13:18:40.654Z	775
2021-02-21T13:18:42.653Z	776
2021-02-21T13:18:44.654Z	777
2021-02-21T13:18:46.653Z	779
2021-02-21T13:18:48.654Z	781
2021-02-21T13:18:50.653Z	782
2021-02-21T13:18:52.654Z	784
2021-02-21T13:18:54.655Z	785
2021-02-21T13:18:56.655Z	786
2021-02-21T13:18:58.655Z	788
2021-02-21T13:19:00.655Z	790
2021-02-21T13:19:02.655Z	791
2021-02-21T13:19:04.656Z	792
2021-02-21T13:19:06.657Z	795
2021-02-21T13:19:08.657Z	796
2021-02-21T13:19:10.658Z	797
2021-02-21T13:19:12.659Z	799
2021-02-21T13:19:14.660Z	800
2021-02-21T13:19:16.661Z	802
2021-02-21T13:19:18.661Z	803
2021-02-21T13:19:20.661Z	805
2021-02-21T13:19:22.662Z	806
2021-02-21T13:19:24.662Z	808
2021-02-21T13:19:26.662Z	809
2021-02-21T13:19:28.663Z	811
2021-02-21T13:19:30.664Z	812
2021-02-21T13:19:32.664Z	813
2021-02-21T13:19:34.665Z	815
2021-02-21T13:19:36.665Z	816
2021-02-21T13:19:38.665Z	818
2021-02-21T13:19:40.666Z	819
2021-02-21T13:19:42.665Z	820
2021-02-21T13:19:44.666Z	822
2021-02-21T13:19:46.667Z	823
2021-02-21T13:19:48.668Z	825
2021-02-21T13:19:50.668Z	826
2021-02-21T13:19:52.670Z	828
2021-02-21T13:19:54.670Z	829
2021-02-21T13:19:56.671Z	830
2021-02-21T13:19:58.672Z	832
2021-02-21T13:20:00.672Z	833
2021-02-21T13:20:02.673Z	835
2021-02-21T13:20:04.674Z	836
2021-02-21T13:20:06.674Z	837
2021-02-21T13:20:08.675Z	838
2021-02-21T13:20:10.675Z	840
2021-02-21T13:20:12.676Z	842
2021-02-21T13:20:14.676Z	843
2021-02-21T13:20:16.676Z	844
2021-02-21T13:20:18.676Z	845
2021-02-21T13:20:20.676Z	846
2021-02-21T13:20:22.678Z	848
2021-02-21T13:20:24.678Z	849
2021-02-21T13:20:26.679Z	851
2021-02-21T13:20:28.679Z	852
2021-02-21T13:20:30.680Z	854
2021-02-21T13:20:32.681Z	855
2021-02-21T13:20:34.682Z	856
2021-02-21T13:20:36.683Z	857
2021-02-21T13:20:38.684Z	858
2021-02-21T13:20:40.684Z	860
2021-02-21T13:20:42.686Z	861
2021-02-21T13:20:44.686Z	862
2021-02-21T13:20:46.686Z	863
2021-02-21T13:20:48.688Z	865
2021-02-21T13:20:50.688Z	866
2021-02-21T13:20:52.687Z	867
2021-02-21T13:20:54.689Z	869
2021-02-21T13:20:56.689Z	870
2021-02-21T13:20:58.691Z	871
2021-02-21T13:21:00.691Z	873
2021-02-21T13:21:02.692Z	874
2021-02-21T13:21:04.693Z	875
2021-02-21T13:21:06.693Z	876
2021-02-21T13:21:08.694Z	877
2021-02-21T13:21:10.695Z	879
2021-02-21T13:21:12.696Z	880
2021-02-21T13:21:14.696Z	881
2021-02-21T13:21:16.696Z	882
2021-02-21T13:21:18.697Z	883
2021-02-21T13:21:20.698Z	884
2021-02-21T13:21:22.697Z	886
2021-02-21T13:21:24.699Z	887
2021-02-21T13:21:26.699Z	888
2021-02-21T13:21:28.699Z	889
2021-02-21T13:21:30.699Z	890
2021-02-21T13:21:32.700Z	891
2021-02-21T13:21:34.700Z	893
2021-02-21T13:21:36.702Z	894
2021-02-21T13:21:38.702Z	895
2021-02-21T13:21:40.703Z	896
2021-02-21T13:21:42.703Z	897
2021-02-21T13:21:44.705Z	899
2021-02-21T13:21:46.705Z	900
2021-02-21T13:21:48.708Z	901
2021-02-21T13:21:50.708Z	902
2021-02-21T13:21:52.709Z	903
2021-02-21T13:21:54.710Z	904
2021-02-21T13:21:56.711Z	905
2021-02-21T13:21:58.711Z	906
2021-02-21T13:22:00.711Z	907
2021-02-21T13:22:02.712Z	908
2021-02-21T13:22:04.712Z	909
2021-02-21T13:22:06.713Z	910
2021-02-21T13:22:08.712Z	911
2021-02-21T13:22:10.713Z	913
2021-02-21T13:22:12.712Z	914
